mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Cminor_count,C#/Dbminor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,BMajor_count
ISFP,SP,isfp's playlist.,4qPec6Eo1yqqXf6Q8VznKT,50,0.5600999999999999,0.1404378357647458,0.6745399999999999,0.2062184506482267,-6.73654,2.744859887952351,0.62,0.4903143514780145,0.069562,0.0608663839060274,0.162662568,0.2529935143499923,0.204214,0.1496662450322076,0.4493800000000001,0.2233625121562136,123.34466,31.18205307584634,0.1211424854,0.2546940908249299,6.0,1.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,5.0,4.0,1.0,3.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISFP,SP,This Is Coral Jovem do IASP,37i9dQZF1DZ06evO0WgJWO,15,0.3365999999999999,0.13503163650472,0.3011333333333333,0.126435114170226,-12.454333333333333,2.779427116374541,0.9333333333333332,0.2581988897471611,0.0298533333333333,0.0026084660699528,0.7765333333333332,0.1907593347900013,0.1328733333333333,0.0637739811103765,0.2166199999999999,0.1478097435411965,102.42013333333333,24.50238556568572,0.0100339606666666,0.0340984966916162,6.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISFP,SP,ISFP-INTJ playlist,00zUHU6TmCloNdYf7pLC5N,50,0.5705600000000001,0.1463485021502873,0.7636200000000001,0.1490749558074044,-5.300400000000001,1.8291422881241584,0.42,0.4985693819032897,0.0909399999999999,0.0693452203964825,0.126699078,0.1921549422775801,0.1996899999999999,0.1522032103633099,0.53672,0.1748710358626421,130.30156,30.54285040301944,0.0111606548,0.0537215007702263,1.0,4.0,3.0,5.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0
ISFP,SP,ISFP vibes🎨🖌️🎐🌼✨🎡🌌,6FdFbQ8QI8KO8mCwgekYY7,50,0.57462,0.1633090084621725,0.54682,0.1547762954481501,-7.735019999999999,2.1192013463875043,0.58,0.4985693819032897,0.045584,0.0395428486787769,0.325632,0.3048087426768545,0.185426,0.1461030776890209,0.4275400000000001,0.2167720819436951,115.95642,25.112484688460505,0.047372377,0.1566399476474843,3.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0
ISFP,SP,isfp = main character,0ot141o2PjUPEqc1Sx6vFe,42,0.5648333333333333,0.1284040719411067,0.6877380952380951,0.2138634234253492,-6.786261904761904,3.403491916020339,0.6190476190476191,0.4915074349923197,0.0695023809523809,0.0628388666744118,0.1546756761904761,0.2544729874768615,0.1739309523809523,0.1327081163325524,0.4521309523809523,0.2454273053050836,124.34873809523808,28.65193629779076,0.0874694459523809,0.2071740088919664,4.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0
ISFP,SP,isfp // the creative,4phCnknfZ5LhEYmArdUJXv,41,0.5859024390243902,0.1454375819515108,0.5609756097560976,0.1986070854482385,-8.854853658536586,3.558179587661193,0.6829268292682927,0.4711169913218957,0.0635073170731707,0.0654382510090386,0.2796064146341463,0.2771080270300714,0.1588292682926829,0.101334212494849,0.4177512195121952,0.2045360544280045,119.08100000000002,25.01296037257485,0.0380337185365853,0.1379499395427064,5.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0
ISFP,SP,Isfp 😋,2vGDqtqDWD0AtYNkEGwnjf,50,0.59194,0.1640269278540096,0.60248,0.1928067913106543,-8.022039999999999,3.0847704440111743,0.66,0.4785181206984066,0.071558,0.0713887348627647,0.18714472,0.218444595274907,0.159002,0.0903110441186232,0.445338,0.2305210113846369,117.1704,27.982353924994825,0.073044502,0.2147708113803167,5.0,5.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0
ISFP,SP,감성적인 ISFP일때,0AqjDOrCvaMUeCO3r54mV4,50,0.64598,0.1129895227217902,0.5373,0.1180626347083856,-6.58872,1.6069271987370233,0.82,0.3880879344916035,0.075106,0.0622124713857146,0.550426,0.1966815418437653,0.189678,0.1249638973006661,0.46614,0.1818318364167669,107.11982,33.09659849079383,0.0012463177999999,0.006142792051097,4.0,1.0,4.0,1.0,3.0,1.0,6.0,1.0,3.0,6.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0
ISFP,SP,ISFP playlist ♡,6uUl4hMRrrVYjIFic9gp4j,50,0.6332,0.1264160607207931,0.6701599999999999,0.17725461451637,-5.91302,2.3575299118581974,0.56,0.5014265364224069,0.083066,0.0703992190645461,0.20622584,0.2768363075039523,0.1673839999999999,0.1126499025969487,0.4787639999999999,0.1957167025502495,117.7007,29.92704025489937,0.020415082,0.1214661580162609,3.0,3.0,0.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,0.0,4.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ISFP,SP,isfp,0X4RMbb53CBK2GJDPzXiXo,50,0.50528,0.1400660252472791,0.474566,0.2339603678368781,-9.53038,4.944053533533894,0.68,0.4712120714991613,0.043566,0.0252435775626844,0.4416046,0.3954993822034443,0.145704,0.0996767407008008,0.3307139999999999,0.1981293465473131,118.90659999999998,26.909824477847707,0.1402637828,0.2604336004599101,4.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0
