mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,Fminor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,EMajor_count,FMajor_count
ESTJ,SJ,estj anthems ,1s59H8zfMEUPQx0Wvk5TI9,50,0.7322000000000002,0.1409595397152484,0.72598,0.1390590081767522,-5.408520000000001,2.089256847077741,0.46,0.5034574339058886,0.114364,0.1022222783338109,0.10235578,0.1335053650141553,0.183222,0.1632768980122105,0.5941,0.2411883208665979,125.42072000000002,23.687083803281343,0.0068074118,0.0273436940094964,4.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0
ESTJ,SJ,Estjor,6lIoEb4iHMmgdKURBvm5bX,50,0.65294,0.1700859818576763,0.6718000000000001,0.1877429854120482,-6.89996,2.212789318890508,0.4,0.4948716593053935,0.0682879999999999,0.0645683458176888,0.2651978,0.2435325064191972,0.172018,0.1491267064188937,0.5683799999999999,0.2304185092125958,129.65606,28.054385687490093,0.0725011566,0.1973565749818758,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0
ESTJ,SJ, estj 8w7,0hI4VDmpMaYGmwfkM8yQ7g,50,0.7168800000000001,0.1852274542175602,0.63622,0.1410650870184051,-6.279680000000001,2.107524318401347,0.48,0.5046720495044485,0.1925199999999999,0.1186710218569446,0.176027,0.2261694281004073,0.225598,0.1706188298458267,0.3978859999999999,0.1978645300426016,127.14806,27.568134360873675,0.0017612336,0.0115344509425983,1.0,1.0,6.0,9.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0
ESTJ,SJ,This Is EST Gee,37i9dQZF1DZ06evO2JD1f2,50,0.7399,0.1141229644743255,0.61672,0.1078704892404757,-6.931959999999999,1.4713836187308145,0.58,0.4985693819032897,0.254786,0.1098763925360434,0.06732542,0.0765376373419066,0.197816,0.106852282853575,0.451016,0.206582050072713,124.97822000000002,34.68032391469496,9.146e-07,4.244360104170891e-06,0.0,2.0,3.0,9.0,0.0,8.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0
ESTJ,SJ,– ESTJ • the executive,2epHH5P907nreYR3UmfRbo,50,0.64924,0.1604154758680071,0.65716,0.1667389943741354,-5.876,1.7433299241651865,0.58,0.4985693819032897,0.1101559999999999,0.0883238502007567,0.1999248,0.2362644093801584,0.200762,0.1672309143986609,0.506966,0.2374485427478156,122.35808000000002,25.407027192668163,0.0310181646,0.1030780596730447,2.0,6.0,2.0,5.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,3.0,1.0
ESTJ,SJ,This Is Esti Kornél,37i9dQZF1DZ06evO3UFYKl,36,0.5277777777777778,0.1413757124243484,0.7619444444444445,0.1541092273949031,-3.8906111111111112,2.2626306721889367,0.4166666666666667,0.4999999999999998,0.0810222222222222,0.051503903381123,0.2158744444444444,0.2103651028289958,0.1610611111111111,0.115960530915302,0.3889527777777778,0.200912152069521,136.60844444444444,31.02117149159765,0.0237600033333333,0.0579256695129806,1.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0
ESTJ,SJ,estj playlist,2UAj0iBYYQcXm3gD9bcjM9,50,0.63164,0.1242658046450496,0.6851400000000001,0.1491383428435573,-5.44826,1.4805748581588996,0.46,0.5034574339058886,0.0938539999999999,0.0878991309887158,0.17133978,0.1812620441340229,0.20095,0.1619624134401156,0.46338,0.2123824861144705,130.55926,26.87652733718645,0.0011413608,0.0039415618151893,4.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,4.0,3.0,0.0,1.0,2.0,2.0,7.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0
ESTJ,SJ,This Is Eastman,37i9dQZF1DZ06evO0fiSDK,33,0.6174242424242424,0.0961866773204033,0.6196666666666666,0.1181372789032601,-6.542909090909091,1.3828168570809631,0.303030303030303,0.4666937221594376,0.175069696969697,0.1061189352944624,0.3123087878787879,0.2451908271856532,0.1442484848484848,0.1338359166134322,0.4008575757575758,0.1793539988233867,108.06763636363635,28.402544606313644,1.5701515151515153e-05,6.942880117075029e-05,3.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0
ESTJ,SJ,ESTJ,0I43Gib09HW2wDtD0Fwdr8,35,0.6867428571428572,0.1412801436564836,0.6125714285714287,0.1504153632864842,-6.879885714285715,1.806149508035852,0.7428571428571429,0.44343957363116,0.0703657142857143,0.054342757203736,0.3453808571428571,0.2199104373893451,0.1627171428571429,0.1066947997126115,0.6186571428571428,0.2181654718539203,131.51568571428572,30.98966049087172,0.0041680142857142,0.0187574278440528,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0
ESTJ,SJ,This Is Eastern Youth,37i9dQZF1DZ06evO3wb9gc,50,0.346,0.0942701285819487,0.8816600000000001,0.0952805974209752,-4.431900000000001,1.180148317382357,0.8,0.4040610178208843,0.0834439999999999,0.0330983701429911,0.003160436,0.0092673351401743,0.134478,0.0751944778964682,0.4160199999999999,0.1320799834979408,132.34462000000002,35.53190030696476,0.0376517996,0.0969609237176308,0.0,2.0,2.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,10.0,0.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0
